411,Alen Smailagic,1517981,1517981
411,Eric Paschall,1517981,1517981
411,Vlatko Cancar,1517981,1517981
411,Dean Wade,1517981,1517981
411,Javonte Green,1517981,1517981
411,Jalen McDaniels,1517981,1517981
411,Caleb Martin,1517981,1517981
411,Cody Martin,1517981,1517981
411,Nicolas Claxton,1517981,1517981
411,Carsen Edwards,1517981,1517981
411,Bruno Fernando,1517981,1517981
441,Damian Jones,1487284,1487284
443,Paul Watson,1445697,1445697
443,Kelan Martin,1445697,1445697
443,DaQuan Jeffries,1445697,1445697
443,Jae'Sean Tate,1445697,1445697
449,Xavier Tillman Sr.,1300000,1300000
450,Tyrell Terry,1289846,1289846
451,Oshae Brissett,1255493,1255493
452,Moses Brown,1250000,1250000
453,Sindarius Thornwell,1235889,1235889
454,Ersan Ilyasova,1194542,1194542
455,Glenn Robinson III,1165322,1165322
459,Norvel Pelle,1014905,1014905
460,Jahmi'us Ramsey,1000000,1000000
460,Lamar Stevens,1000000,1000000
460,Nick Richards,1000000,1000000
464,Juan Toscano-Anderson,943963,943963
465,Shaquille Harrison,915048,915048
466,Chimezie Metu,910895,910895
