149,Jeff Green,PF,68,27,11,3.8,7.8,49.2,1.5,3.7,41.2,1.8,2.4,77.6,3.9,1.6,0.5,0.4,0.8,0,0,13.01
151,Maxi Kleber,PF,50,26.8,7.1,2.3,5.5,42.2,1.7,4.2,41,0.7,0.7,91.9,5.2,1.4,0.5,0.7,0.6,0,0,10.59
152,Mason Plumlee,C,56,26.8,10.4,4.2,6.8,61.4,0,0.1,0,2,3,66.9,9.3,3.6,0.8,0.9,1.9,16,2,18.7
153,Jakob Poeltl,C,69,26.7,8.6,3.8,6.2,61.6,0,0,0,0.9,1.8,50.8,7.9,1.9,0.7,1.8,1.2,15,0,17.53
154,Jordan Clarkson,PG,68,26.7,18.4,6.7,15.8,42.5,3.1,8.8,34.7,1.9,2.1,89.6,4,2.5,0.9,0.1,1.7,0,0,17.2
155,Goran Dragic,PG,50,26.7,13.4,4.8,11.1,43.2,1.8,4.9,37.3,2,2.4,82.8,3.4,4.4,0.7,0.2,2.4,1,0,13.07
156,Marcus Morris Sr.,SF,57,26.4,13.4,4.8,10.2,47.3,2.5,5.2,47.3,1.3,1.6,82,4.1,1,0.6,0.3,1,0,0,14.51
157,P.J. Tucker,PF,52,26.1,3.7,1.3,3.4,37.3,0.8,2.3,33.6,0.4,0.5,75,3.9,1.2,0.8,0.4,0.8,0,0,5.55
158,Ricky Rubio,PG,68,26.1,8.6,2.8,7.3,38.8,1,3.1,30.8,1.9,2.2,86.7,3.3,6.4,1.4,0.1,1.6,4,0,13.53
159,T.J. McConnell,PG,69,26,8.6,4,7.1,55.9,0.2,0.7,31.3,0.5,0.7,68.8,3.7,6.6,1.9,0.3,2,5,1,16.98
161,LaMarcus Aldridge,F,26,25.9,13.5,5.4,11.4,47.3,1.2,3.1,38.7,1.6,1.8,87.2,4.5,1.9,0.4,1.1,1,1,0,15.75
162,Danuel House Jr,SF,36,25.9,8.8,3.1,7.6,40.4,1.5,4.3,34.6,1.1,1.8,65.1,3.7,1.9,0.6,0.4,1,0,0,9.12
163,Marvin Bagley,PF,43,25.9,14.1,5.7,11.4,50.4,0.9,2.5,34.3,1.8,3.1,57.5,7.4,1,0.5,0.5,1.4,11,0,16.37
164,Lauri Markkanen,PF,51,25.8,13.6,4.9,10.2,48,2.3,5.8,40.2,1.5,1.8,82.6,5.3,0.9,0.5,0.3,1,2,0,15.25
165,Michael Carter-Williams,PG,31,25.8,8.8,3.4,8.7,38.9,0.5,2,24.6,1.6,2.6,61.3,4.5,4.2,0.8,0.5,2.2,0,0,9.51
166,Blake Griffin,PF,46,25.8,11,3.8,8.9,42.3,1.5,4.5,34.1,1.9,2.5,74.4,4.9,3,0.7,0.3,1.3,2,0,12.93
167,Killian Hayes,PG,26,25.8,6.8,2.7,7.7,35.3,0.8,2.8,27.8,0.5,0.7,82.4,2.7,5.3,1,0.4,3.2,0,0,5.37
168,Dwayne Bacon,SG,72,25.7,10.9,4.1,10.1,40.2,0.8,2.9,28.5,2,2.4,82.4,3.1,1.3,0.6,0.1,0.6,0,0,9.99
