197,Marc Gasol,LAL,52.00,19.10,-2.07,1.37,-0.70,1.11
198,Svi Mykhailiuk,OKC,66.00,20.10,0.67,-1.37,-0.70,1.77
199,Blake Griffin,BKN,46.00,25.80,-0.76,0.05,-0.71,1.38
200,Malachi Flynn,TOR,47.00,19.70,-0.19,-0.53,-0.72,1.16
201,Malik Monk,CHA,42.00,20.90,2.11,-2.84,-0.73,1.32
202,Goga Bitadze,IND,45.00,12.50,0.12,-0.85,-0.73,0.82
203,Gabriel Deck,OKC,10.00,21.20,-0.06,-0.67,-0.73,0.25
204,Kelly Oubre Jr,GSW,55.00,30.70,-1.90,1.17,-0.73,2.02
205,Elijah Hughes,UTA,18.00,3.60,1.24,-1.97,-0.73,0.08
206,Steven Adams,NOP,58.00,27.70,-2.85,2.11,-0.74,1.73
207,Rui Hachimura,WAS,57.00,31.50,-1.49,0.75,-0.74,2.09
208,Darius Garland,CLE,54.00,33.10,-0.05,-0.71,-0.76,2.09
209,Alfonzo McKinnie,LAL,39.00,6.60,0.08,-0.87,-0.79,0.34
210,Willie Cauley-Stein,DAL,53.00,17.10,-0.94,0.14,-0.80,1.12
211,Montrezl Harrell,LAL,69.00,22.90,0.98,-1.79,-0.81,2.20
212,Henry Ellenson,TOR,2.00,19.00,0.29,-1.10,-0.81,0.06
213,Armoni Brooks,HOU,20.00,26.00,1.24,-2.06,-0.81,0.66
214,Frank Kaminsky,PHX,47.00,15.20,-0.64,-0.18,-0.82,0.83
215,Kent Bazemore,GSW,67.00,19.90,-0.23,-0.60,-0.82,1.66
216,Killian Tillie,MEM,18.00,10.10,-0.24,-0.59,-0.83,0.24
217,DeMar DeRozan,SAS,61.00,33.70,-0.74,-0.10,-0.83,2.16
218,Tyler Herro,MIA,54.00,30.30,0.52,-1.35,-0.83,1.96
219,Josh Hart,NOP,47.00,28.70,0.77,-1.60,-0.83,1.70
220,Josh Richardson,DAL,59.00,30.30,-1.37,0.53,-0.84,1.86
221,Tyus Jones,MEM,70.00,17.50,0.71,-1.55,-0.84,1.61
222,Justin James,SAC,36.00,8.60,0.31,-1.15,-0.85,0.41
223,Edmond Sumner,IND,53.00,16.20,0.80,-1.65,-0.85,1.01
224,Tyrese Maxey,PHI,61.00,15.30,-0.04,-0.82,-0.86,1.03
225,Patty Mills,SAS,68.00,24.80,1.78,-2.65,-0.87,2.18
226,Dewayne Dedmon,MIA,16.00,13.10,0.50,-1.38,-0.88,0.29
227,Pat Connaughton,MIL,69.00,22.80,0.39,-1.27,-0.88,1.99
229,Shake Milton,PHI,63.00,23.20,1.06,-1.96,-0.90,1.79
230,Bobby Portis,MIL,66.00,20.80,0.80,-1.71,-0.91,1.74
231,Abdel Nader,PHX,24.00,14.80,0.10,-1.02,-0.92,0.46
232,Jeremy Lamb,IND,36.00,21.30,0.88,-1.80,-0.92,0.92
233,Coby White,CHI,69.00,31.20,0.31,-1.24,-0.93,2.28
234,Robert Franks,ORL,7.00,14.40,-0.06,-0.88,-0.94,0.11
235,Alex Len,WAS,64.00,15.30,-0.88,-0.07,-0.94,1.00
236,Jordan Nwora,MIL,30.00,9.10,0.95,-1.90,-0.95,0.29
237,Kenrich Williams,OKC,66.00,21.60,0.24,-1.20,-0.96,1.57
238,Robert Williams III,BOS,52.00,18.90,0.84,-1.81,-0.97,1.13
239,Spencer Dinwiddie,BKN,3.00,21.30,0.61,-1.58,-0.97,0.07
240,Matisse Thybulle,PHI,65.00,20.00,-1.24,0.27,-0.97,1.40
241,Jalen Harris,TOR,13.00,13.20,0.98,-1.96,-0.97,0.21
242,Alec Burks,NYK,49.00,25.60,0.54,-1.53,-0.98,1.27
243,Matt Thomas,UTA,45.00,7.30,0.77,-1.76,-1.00,0.40
244,George Hill,PHI,30.00,22.40,-1.24,0.24,-1.00,0.59
245,Josh Jackson,DET,62.00,25.20,0.10,-1.10,-1.01,1.59
246,Skylar Mays,ATL,33.00,8.20,0.27,-1.28,-1.01,0.27
247,JJ Redick,DAL,44.00,16.40,1.01,-2.03,-1.02,0.80
